n_rep_periods,clustering_type,weight_type,normalization,seed,regret_pct,mismatch_pct,total_time_s,time_to_preprocess,time_to_cluster,time_to_fit_weights,time_to_formulate_model,time_to_solve,time_to_read,projection_error,max_weight_sum,cache_hit_rate,pgd_total_iters,termination_status,evaluation_termination_status,n_variables,n_constraints,eval_n_variables,eval_n_constraints,case_study,problem_class,source
40,convex_hull,conical_bounded,economic,653657,3.2508622467137815,8.850994395150646,28.761759749,0.005274417,2.418265416,0.432587583,0.922764,25.91090675,0.272698583,598361.122589136,1.0000000000000002,55.80081753994798,298498,OPTIMAL,OPTIMAL,163306,463834,1489306,3959534,gep,investment,tyndp
40,convex_hull_with_null,dirac,economic,653657,1.2961734368933442,1.2039398387227511,20.176057832999998,0.005267792,2.500677917,1.875e-6,0.858005875,17.675378041,0.272698583,968898.8916345804,1.0,55.73806078147612,0,OPTIMAL,OPTIMAL,163306,463834,1489306,3959534,gep,investment,tyndp
40,convex_hull_with_null,convex,economic,653657,2.249849766769829,7.935006542935179,39.901870917,0.005264542,2.45991075,0.4306675,1.018792458,37.011292667,0.272698583,627323.4610020159,1.0000000000000002,55.73806078147612,303500,OPTIMAL,OPTIMAL,163306,463834,1489306,3959534,gep,investment,tyndp
40,convex_hull_with_null,conical,economic,653657,2.631054833359703,8.754835666549532,34.047559416,0.00517025,3.238123458,0.251933166,0.935031375,30.557502792,0.272698583,588096.3781584927,1.2572905346497698,55.73806078147612,317833,OPTIMAL,OPTIMAL,163306,463834,1489306,3959534,gep,investment,tyndp
40,convex_hull_with_null,conical_bounded,economic,653657,2.6715955570255634,5.466054131586026,30.831852874,0.005243917,2.400588708,0.448102625,1.009681959,27.983161541,0.272698583,598724.9154393891,1.0000000000000002,55.73806078147612,308702,OPTIMAL,OPTIMAL,163306,463834,1489306,3959534,gep,investment,tyndp
40,conical_hull,dirac,economic,653657,12.656704730309443,0.17038282614265218,11.532358375,0.005156958,1.283749583,1.042e-6,0.875951958,10.24860775,0.272698583,1.0353380950987774e6,1.0,53.24414715719063,0,OPTIMAL,OPTIMAL,163306,463834,1489306,3959534,gep,investment,tyndp
40,conical_hull,convex,economic,653657,13.277724057778851,11.221388498568162,26.473769666000003,0.005168375,1.267914833,0.270862833,0.908805208,24.934992,0.272698583,743073.9231441981,1.0000000000000002,53.24414715719063,220253,OPTIMAL,OPTIMAL,163306,463834,1489306,3959534,gep,investment,tyndp
40,conical_hull,conical,economic,653657,9.730625780901736,14.44377310505226,25.667165082999997,0.005209208,0.618412292,0.236267625,0.997950541,24.812485166,0.272698583,617469.2099068221,1.615373686240662,53.24414715719063,270990,OPTIMAL,OPTIMAL,163306,463834,1489306,3959534,gep,investment,tyndp
40,conical_hull,conical_bounded,economic,653657,13.424136729668245,11.10321405782705,22.483951584,0.005317208,1.412151417,0.279969125,0.934718208,20.791831042,0.272698583,744087.3581125847,1.0000000000000002,53.24414715719063,220089,OPTIMAL,OPTIMAL,163306,463834,1489306,3959534,gep,investment,tyndp
80,k_means,dirac,economic,653657,33.66888638098968,35.92592190266163,34.475940666,0.005514125,0.191801541,1.917e-6,1.51612275,34.284137208,0.272698583,634113.1064958745,1.0,,0,OPTIMAL,OPTIMAL,326506,894074,1489306,3959534,gep,investment,tyndp
80,k_means,convex,economic,653657,24.080873768077904,28.1041758525295,130.729155125,0.005221666,0.225326125,1.77987175,1.56214775,128.72395725,0.272698583,569221.8308645074,1.0000000000000002,,567406,OPTIMAL,OPTIMAL,326506,894074,1489306,3959534,gep,investment,tyndp
80,k_means,conical,economic,653657,20.947014646067164,24.996551010119564,114.670741833,0.005169625,0.187943375,1.160890833,2.1257045,113.321907625,0.272698583,553624.4267975779,1.283949466826237,,620995,OPTIMAL,OPTIMAL,326506,894074,1489306,3959534,gep,investment,tyndp
80,k_means,conical_bounded,economic,653657,24.953097117004596,28.718547323069426,134.46244612499999,0.005137958,0.182009583,1.89506175,1.62155375,132.385374792,0.272698583,566373.9702318225,1.0000000000000002,,575961,OPTIMAL,OPTIMAL,326506,894074,1489306,3959534,gep,investment,tyndp
80,k_medoids,dirac,economic,653657,6.421657973236128,10.245208283209141,29.472943666000003,0.005186875,0.200520791,1.708e-6,1.619761542,29.272421167,0.272698583,792764.5355905512,1.0,,0,OPTIMAL,OPTIMAL,326506,894074,1489306,3959534,gep,investment,tyndp
80,k_medoids,convex,economic,653657,7.481639028896914,10.16019467935139,98.140526292,0.005169792,0.189068625,1.480436875,1.6580305,96.471020792,0.272698583,563430.9639651714,1.0000000000000002,,456554,OPTIMAL,OPTIMAL,326506,894074,1489306,3959534,gep,investment,tyndp
80,k_medoids,conical,economic,653657,6.566515263324724,8.61888345385273,76.806874916,0.005219083,0.187589958,0.90600425,1.677885625,75.713280708,0.272698583,542380.1266940995,1.3553175968659943,,482723,OPTIMAL,OPTIMAL,326506,894074,1489306,3959534,gep,investment,tyndp
80,k_medoids,conical_bounded,economic,653657,8.604361016106022,11.484108244783776,107.79689991699999,0.005221125,0.181345,1.432274542,1.704263167,106.183280375,0.272698583,557822.8445942699,1.0000000000000002,,454203,OPTIMAL,OPTIMAL,326506,894074,1489306,3959534,gep,investment,tyndp
80,hierarchical,dirac,economic,653657,2.3522168015970513,4.303797372771964,47.536854542,0.005156333,0.19377525,1.417e-6,1.617463084,47.343077875,0.272698583,798539.0644893756,1.0,,0,OPTIMAL,OPTIMAL,326506,894074,1489306,3959534,gep,investment,tyndp
