case_study,problem_class,source,n_rep_periods,clustering_type,weight_type,normalization,n_seeds,regret_mean_pct,regret_sd_pct,mismatch_mean_pct,time_mean_s,time_sd_s,is_deterministic,pareto_frontier,reasonable_in_group
gep,investment,tyndp,10,convex_hull_with_null,dirac,unscaled,5,12.699736290378505,0.0,6.2779860855189575,2.4299745502,0.1,true,true,true
gep,investment,tyndp,10,convex_hull_with_null,convex,unscaled,5,14.62805338066433,0.0,11.917960164971886,2.2097625748,0.3,true,true,true
gep,investment,tyndp,10,convex_hull_with_null,conical,unscaled,5,12.8775352913858,0.0,8.482057796762565,2.5411010248000006,0.3,true,true,true
gep,investment,tyndp,10,convex_hull_with_null,conical_bounded,unscaled,5,12.37281405276347,0.0,7.024141228709974,2.588299375,0.3,true,true,true
gep,investment,tyndp,10,conical_hull,dirac,unscaled,5,22.491013018817483,0.0,0.20234933616268996,2.0651821168,0.4,true,false,false
gep,investment,tyndp,10,conical_hull,convex,unscaled,5,26.16422834075367,0.0,3.6623077757448117,2.4378482416000002,0.4,true,false,false
gep,investment,tyndp,10,conical_hull,conical,unscaled,5,20.2836781097945,0.0,10.577524865456247,2.1228597084,0.2,true,false,false
gep,investment,tyndp,10,conical_hull,conical_bounded,unscaled,5,25.604394575139942,0.0,4.166761389586299,2.3965640002,0.3,true,false,false
gep,investment,tyndp,20,k_means,dirac,unscaled,5,223.5153043692973,79.4,74.31099451752242,5.067418008600001,0.4,false,false,false
gep,investment,tyndp,20,k_means,convex,unscaled,5,226.00719845890958,80.0,74.41582904379194,9.8683852586,1.2,false,false,false
gep,investment,tyndp,20,k_means,conical,unscaled,5,225.2604210198022,83.3,74.14103192544783,9.531114133,1.6,false,false,false
gep,investment,tyndp,20,k_means,conical_bounded,unscaled,5,230.03537889042863,84.5,74.74577265816721,9.4221510504,1.1,false,false,false
gep,investment,tyndp,20,k_medoids,dirac,unscaled,5,42.71747140786996,11.4,32.78273262457678,5.041334608200001,0.6,false,false,false
gep,investment,tyndp,20,k_medoids,convex,unscaled,5,50.6770650473856,14.7,36.153572038501025,17.999643475200003,0.8,false,false,false
gep,investment,tyndp,20,k_medoids,conical,unscaled,5,50.21319657250531,13.3,36.230215832508165,18.0246803418,2.5,false,false,false
gep,investment,tyndp,20,k_medoids,conical_bounded,unscaled,5,52.09274192469625,13.8,37.54892846503612,17.613309983599997,2.4,false,false,false
gep,investment,tyndp,20,hierarchical,dirac,unscaled,5,37.56991901848463,0.0,34.36019739978195,4.6392545998,0.3,true,false,false
gep,investment,tyndp,20,hierarchical,convex,unscaled,5,38.99053637161407,0.0,34.17092991747723,13.2129583828,0.1,true,false,false
gep,investment,tyndp,20,hierarchical,conical,unscaled,5,36.43497151003301,0.0,32.646073202112824,18.4566164754,0.3,true,false,false
gep,investment,tyndp,20,hierarchical,conical_bounded,unscaled,5,39.77253401614775,0.0,34.943829280045044,7.3007871918,0.2,true,false,false
gep,investment,tyndp,20,chronological,dirac,unscaled,5,130.65070581301387,0.0,57.8282115292799,2.7526652418,0.3,true,false,false
gep,investment,tyndp,20,chronological,convex,unscaled,5,120.85145694195712,0.0,55.7771428739516,15.5095397416,0.3,true,false,false
gep,investment,tyndp,20,chronological,conical,unscaled,5,128.61215167135063,0.0,57.37231288418926,19.2797570248,0.4,true,false,false
gep,investment,tyndp,20,chronological,conical_bounded,unscaled,5,127.9474631591102,0.0,57.858411635735465,18.1022720086,0.4,true,false,false
gep,investment,tyndp,20,convex_hull,dirac,unscaled,5,5.4252465823242435,0.0,4.471318814042069,6.2702177919999995,0.3,true,false,true
gep,investment,tyndp,20,convex_hull,convex,unscaled,5,7.173857369357295,0.0,13.1195951393349,15.123075424799998,0.4,true,false,false
gep,investment,tyndp,20,convex_hull,conical,unscaled,5,7.298371830293826,0.0,14.853948036650369,8.7351226172,0.3,true,false,false
gep,investment,tyndp,20,convex_hull,conical_bounded,unscaled,5,7.352237036288488,0.0,11.279638749014927,16.019208808400002,0.4,true,false,false
gep,investment,tyndp,20,convex_hull_with_null,dirac,unscaled,5,4.99125694151088,0.0,2.0610382706854926,6.041103341,0.4,true,true,true
gep,investment,tyndp,20,convex_hull_with_null,convex,unscaled,5,6.802382191275113,0.0,12.957822593946739,15.4773363744,0.2,true,false,false
gep,investment,tyndp,20,convex_hull_with_null,conical,unscaled,5,6.489953901989809,0.0,10.375519699108095,22.2765106746,0.4,true,false,false
gep,investment,tyndp,20,convex_hull_with_null,conical_bounded,unscaled,5,6.552090564410262,0.0,8.57188596346232,16.2115292836,0.3,true,false,false
gep,investment,tyndp,20,conical_hull,dirac,unscaled,5,9.450560359270966,0.0,4.666550222359986,6.118764316399999,0.3,true,false,false
gep,investment,tyndp,20,conical_hull,convex,unscaled,5,28.492407701150647,0.0,3.189784692949576,13.904437375199999,0.6,true,false,false
gep,investment,tyndp,20,conical_hull,conical,unscaled,5,24.142984710591154,0.0,1.90922208383092,18.392325899999996,0.3,true,false,false
gep,investment,tyndp,20,conical_hull,conical_bounded,unscaled,5,29.999936597563412,0.0,4.399294668450717,14.7564543252,0.6,true,false,false
gep,investment,tyndp,40,k_means,dirac,unscaled,5,79.75371378684939,27.2,53.303702778957984,11.095539532999998,1.0,false,false,false
gep,investment,tyndp,40,k_means,convex,unscaled,5,72.17226567331389,31.3,50.08156367063576,23.605584642000004,0.9,false,false,false
gep,investment,tyndp,40,k_means,conical,unscaled,5,69.66386275948466,33.6,48.73981049939693,20.842280866800003,1.5,false,false,false
gep,investment,tyndp,40,k_means,conical_bounded,unscaled,5,72.73329364926056,30.7,50.49436387011514,22.8646374834,2.5,false,false,false
gep,investment,tyndp,40,k_medoids,dirac,unscaled,5,21.769952586217553,26.9,19.523023695725715,13.3273581084,2.6,false,false,false
gep,investment,tyndp,40,k_medoids,convex,unscaled,5,20.841783675743912,24.2,17.467757394738914,26.617015308400006,2.9,false,false,false
gep,investment,tyndp,40,k_medoids,conical,unscaled,5,20.33594822067194,24.5,16.58914089585922,26.089886675000002,4.1,false,false,false
gep,investment,tyndp,40,k_medoids,conical_bounded,unscaled,5,21.034095301448634,24.4,18.167275039452957,28.304708408199996,3.0,false,false,false
gep,investment,tyndp,40,hierarchical,dirac,unscaled,5,22.313441387721976,0.0,25.669187143709202,12.7688139832,0.3,true,false,false
gep,investment,tyndp,40,hierarchical,convex,unscaled,5,20.411546187122866,0.0,24.85582079899521,28.018541841599994,0.2,true,false,false
gep,investment,tyndp,40,hierarchical,conical,unscaled,5,18.113969042583,0.0,23.276105284116436,23.498103117000003,0.5,true,false,false
gep,investment,tyndp,40,hierarchical,conical_bounded,unscaled,5,20.856509158161217,0.0,25.277682905924085,21.845570400200003,0.4,true,false,false
gep,investment,tyndp,40,chronological,dirac,unscaled,5,15.716839730226685,0.0,13.20905258538826,6.8866303582,0.3,true,false,false
gep,investment,tyndp,40,chronological,convex,unscaled,5,16.282795917722105,0.0,15.886058568392238,27.247260933399996,0.3,true,false,false
gep,investment,tyndp,40,chronological,conical,unscaled,5,15.153377507337694,0.0,14.758235743077382,26.8475044498,0.4,true,false,false
gep,investment,tyndp,40,chronological,conical_bounded,unscaled,5,13.680954922813607,0.0,14.383127267647016,21.011512642000003,0.3,true,false,false
gep,investment,tyndp,40,convex_hull,dirac,unscaled,5,4.016207553159257,0.0,0.1050151130885788,16.074679491599998,0.3,true,false,false
gep,investment,tyndp,40,convex_hull,convex,unscaled,5,2.9872820735925343,0.0,8.421450852778353,27.342989132999996,0.4,true,true,true
gep,investment,tyndp,40,convex_hull,conical,unscaled,5,2.6891996631315918,0.0,10.544451110308218,32.5722786834,0.3,true,true,true
gep,investment,tyndp,40,convex_hull,conical_bounded,unscaled,5,3.005338533060331,0.0,7.544787745044698,28.8610543828,0.5,true,true,true
