case_study,clustering_type,weight_type,n_rep_periods,total_spillage,total_borrow,max_weight_sum,eval_cost_of_operations,eval_cost_of_borrow
5bus,convex_hull,conical,80,194793.5592665621,0.0,1.7293596730500327,14961.940461266266,0.0
5bus,convex_hull_with_null,dirac,10,188329.39489083033,0.0,1.0,36851.45090901974,0.0
5bus,convex_hull_with_null,dirac,20,165932.89148370718,0.0,1.0,42133.94136189878,0.0
5bus,convex_hull_with_null,dirac,40,170134.8505502492,0.0,1.0,42765.8444181076,0.0
5bus,convex_hull_with_null,dirac,80,197628.9579514048,0.0,1.0,14942.98542662662,0.0
5bus,convex_hull_with_null,convex,10,199684.25017629465,0.0,1.0000000000000002,33249.533928819146,0.0
5bus,convex_hull_with_null,convex,20,175454.77673547107,0.0,1.0000000000000002,37833.21077774351,0.0
5bus,convex_hull_with_null,convex,40,175902.13096891262,0.0,1.0000000000000002,39307.10724607065,0.0
5bus,convex_hull_with_null,convex,80,196000.7195489011,0.0,1.0000000000000002,14946.655868052407,0.0
5bus,convex_hull_with_null,conical_bounded,10,165822.4637508154,0.0,1.0,49979.82309786137,0.0
5bus,convex_hull_with_null,conical_bounded,20,167788.24080631204,0.0,1.0000000000000002,42026.28196811497,0.0
5bus,convex_hull_with_null,conical_bounded,40,168058.143930343,0.0,1.0000000000000004,42609.84542176966,0.0
5bus,convex_hull_with_null,conical_bounded,80,191177.13837180735,0.0,1.0000000000000002,15555.853131626523,0.0
5bus,convex_hull_with_null,conical,10,170142.0664015603,0.0,1.4387194949848794,45988.66069437749,0.0
5bus,convex_hull_with_null,conical,20,171461.0831015639,0.0,1.576686037640659,40081.531579212104,0.0
5bus,convex_hull_with_null,conical,40,172496.5018944291,0.0,1.6303511607166736,39684.57497017337,0.0
5bus,convex_hull_with_null,conical,80,193598.8163887546,0.0,1.7259363686370073,15130.712227212123,0.0
5bus,conical_hull,dirac,10,191273.24180177413,0.0,1.0,20552.747381860765,0.0
5bus,conical_hull,dirac,20,186039.59144526414,0.0,1.0,15685.455152771896,0.0
5bus,conical_hull,dirac,40,189342.64409598903,0.0,1.0,15349.76096283756,0.0
5bus,conical_hull,dirac,80,186358.06219552102,0.0,1.0,15496.122336105593,0.0
5bus,conical_hull,convex,10,190897.46742118686,0.0,1.0000000000000002,20445.34605666404,0.0
