case_study,clustering_type,weight_type,n_rep_periods,stage,time_mean_s,time_sd_s,method_label
5bus,convex_hull,convex,80,fit_weights,0.9244959582,0.006088305197624107,
5bus,convex_hull,convex,80,formulate_model,0.20446867539999997,0.00250146648405966,
5bus,convex_hull,convex,80,solve,0.48333956679999995,0.04291756075572031,
5bus,,,1,solve,2.4476004666,0.08757796729033392,full_reference
p2x,k_means,dirac,10,read_preprocess,0.0083879082,9.239024436703252e-5,
p2x,k_means,dirac,10,cluster,0.626125833,0.3460149862299617,
p2x,k_means,dirac,10,fit_weights,1.4415999999999999e-6,5.021800473933627e-7,
p2x,k_means,dirac,10,formulate_model,1.3402517835999999,0.13485980383602258,
p2x,k_means,dirac,10,solve,1.5572029247999999,0.14608282464507402,
p2x,k_means,dirac,20,read_preprocess,0.0086701836,2.9256158826817972e-5,
p2x,k_means,dirac,20,cluster,0.457452775,0.011120439124615763,
p2x,k_means,dirac,20,fit_weights,1.7916000000000003e-6,2.182001374884993e-7,
p2x,k_means,dirac,20,formulate_model,2.1176255664,0.4695359341531751,
p2x,k_means,dirac,20,solve,4.2618193418,0.42600353506336536,
p2x,k_means,dirac,40,read_preprocess,0.0086648748,3.784595999178755e-5,
p2x,k_means,dirac,40,cluster,0.4654482666,0.01571967847513518,
p2x,k_means,dirac,40,fit_weights,1.7416e-6,8.013925380236583e-8,
p2x,k_means,dirac,40,formulate_model,3.7261144911999997,0.09033699039056876,
p2x,k_means,dirac,40,solve,9.81787565,0.9575057060512736,
p2x,k_means,dirac,80,read_preprocess,0.0086994166,4.125018299716985e-5,
p2x,k_means,dirac,80,cluster,0.4789859084,0.019622058193555884,
p2x,k_means,dirac,80,fit_weights,1.6168e-6,5.544918394349911e-7,
p2x,k_means,dirac,80,formulate_model,5.7562388334,0.15166580692973286,
p2x,k_means,dirac,80,solve,21.790404708399997,1.40179380298387,
p2x,k_means,convex,10,read_preprocess,0.008720742,0.00016734848039047132,
p2x,k_means,convex,10,cluster,0.45974033299999995,0.018061345870794495,
p2x,k_means,convex,10,fit_weights,0.1163474582,0.0712857346510252,
p2x,k_means,convex,10,formulate_model,1.4529948745999999,0.4161913303867649,
p2x,k_means,convex,10,solve,2.0028025502,0.1304293061373292,
p2x,k_means,convex,20,read_preprocess,0.0086966168,4.915091841156212e-5,
p2x,k_means,convex,20,cluster,0.46991633340000005,0.020237475021035328,
p2x,k_means,convex,20,fit_weights,0.48236554960000005,0.45607235575217747,
p2x,k_means,convex,20,formulate_model,2.0104592086,0.4695212444373975,
p2x,k_means,convex,20,solve,4.6377725002,1.6558497791363485,
p2x,k_means,convex,40,read_preprocess,0.008700841599999998,0.00010644770325986437,
p2x,k_means,convex,40,cluster,0.471778358,0.01559048333554599,
p2x,k_means,convex,40,fit_weights,1.5087764667999999,0.6275722081179873,
p2x,k_means,convex,40,formulate_model,2.9974810833999994,0.5737469699719213,
p2x,k_means,convex,40,solve,13.092571049999998,3.563178926969885,
p2x,k_means,convex,80,read_preprocess,0.0087126752,4.2676107468934437e-5,
p2x,k_means,convex,80,cluster,0.4893333748,0.01259449366777171,
p2x,k_means,convex,80,fit_weights,3.1118614748,0.6074877051382028,
p2x,k_means,convex,80,formulate_model,5.5139921168,0.7393197670873638,
p2x,k_means,convex,80,solve,38.290198225,9.503107485806215,
p2x,hierarchical,dirac,10,read_preprocess,0.008718667,8.59626747984262e-5,
p2x,hierarchical,dirac,10,cluster,0.4507336082,0.03346940478620332,
p2x,hierarchical,dirac,10,fit_weights,1.6416e-6,2.98356833338873e-7,
p2x,hierarchical,dirac,10,formulate_model,1.2963861752,0.09548006634079945,
p2x,hierarchical,dirac,10,solve,1.6077674832,0.08331214536402641,
