name,seed,n_rep_periods,period_length,clustering_type,distance,weight_type,projection_error,termination_status,objective_value,evaluation_termination_status,evaluated_objective_value,total_spillage,total_borrow,time_to_preprocess,time_to_cluster,time_to_fit_weights,time_to_formulate_model,time_to_solve,time_to_read
gep_10_24_k_medoids_euclidean_conical_bounded_1000_0.0001,587,10,24,k_medoids,euclidean,conical_bounded,123.7398169440952,OPTIMAL,5.354730870643793e7,OPTIMAL,1.4412059705827805e8,0.0,0.0,0.007698625,0.212995709,5.443269375,0.753711917,2.548055875,0.419225916
gep_10_24_hull_euclidean_conical_bounded_1000_0.0001,587,10,24,hull,euclidean,conical_bounded,111.32824247619048,OPTIMAL,5.9899631667015284e7,OPTIMAL,6.949330907763323e7,0.0,0.0,0.00785,1.45176775,4.699789917,0.770838542,2.65033925,0.419225916
gep_10_24_k_means_euclidean_conical_1000_0.0001,587,10,24,k_means,euclidean,conical,109.69942084589393,OPTIMAL,5.243292511757882e7,OPTIMAL,1.3512928567741883e8,0.0,0.0,0.007808834,0.221658584,3.411859791,0.718740583,2.461892584,0.419225916
gep_10_24_k_medoids_euclidean_conical_1000_0.0001,587,10,24,k_medoids,euclidean,conical,130.66591524447594,OPTIMAL,5.458808740947349e7,OPTIMAL,1.4711982913431862e8,0.0,0.0,0.007840084,0.211170666,3.396390125,0.75356125,2.268060125,0.419225916
gep_10_24_hull_euclidean_conical_1000_0.0001,587,10,24,hull,euclidean,conical,119.98594153400867,OPTIMAL,6.635815336449362e7,OPTIMAL,6.6288951366017215e7,0.0,0.0,0.007722375,3.493453042,4.042965708,0.7602,2.73218125,0.419225916
gep_20_24_k_means_euclidean_dirac_1000_0.0001,587,20,24,k_means,euclidean,dirac,108.50886004776791,OPTIMAL,5.259740566347875e7,OPTIMAL,1.0324601840301523e8,0.0,0.0,0.007766167,0.219867,1.0e-6,1.861924209,6.69976125,0.419225916
gep_20_24_k_medoids_euclidean_dirac_1000_0.0001,587,20,24,k_medoids,euclidean,dirac,136.47321724682828,OPTIMAL,5.481039304988265e7,OPTIMAL,1.260304932695861e8,0.0,0.0,0.007832958,0.209778375,1.208e-6,1.853289208,8.875043333,0.419225916
gep_20_24_hull_euclidean_dirac_1000_0.0001,587,20,24,hull,euclidean,dirac,149.11955677327688,OPTIMAL,6.440762436222026e7,OPTIMAL,6.273990461685777e7,0.0,0.0,0.007881,2.276380958,1.25e-6,1.116195959,8.067362458,0.419225916
gep_20_24_k_means_euclidean_convex_1000_0.0001,587,20,24,k_means,euclidean,convex,103.01174415568444,OPTIMAL,5.2598162392992124e7,OPTIMAL,1.034777663777938e8,0.0,0.0,0.00775125,0.215016667,7.724824333,1.13742925,19.528463333,0.419225916
gep_20_24_k_medoids_euclidean_convex_1000_0.0001,587,20,24,k_medoids,euclidean,convex,115.76925610546772,OPTIMAL,5.4458668966365695e7,OPTIMAL,1.2614853908553134e8,0.0,0.0,0.007785458,0.607945917,8.333909792,1.165400166,25.07452825,0.419225916
